account_id,account_type,created_at,initial_balance
ACC000000,individual,2024-02-24,5748.342881429284
ACC000001,shell,2024-04-05,3906.470646622577
ACC000002,individual,2024-02-05,174763.24661671618
ACC000003,individual,2024-04-23,18352.636460733207
ACC000004,individual,2024-02-06,6390.562382443159
ACC000005,individual,2024-04-21,12555.022498148439
ACC000006,individual,2024-01-14,22848.963366293727
ACC000007,company,2024-01-27,15082.723029837804
ACC000008,individual,2024-03-23,6205.294918833559
ACC000009,individual,2024-01-31,8962.175872670936
ACC000010,individual,2024-04-19,72093.30123459964
ACC000011,shell,2024-03-13,5416.943704902078
ACC000012,company,2024-04-11,2990.0013396537584
ACC000013,individual,2024-03-21,14943.701514224436
ACC000014,individual,2024-03-23,3191.6190935691284
ACC000015,individual,2024-02-13,8868.195319141472
ACC000016,individual,2024-03-08,6298.474886636485
ACC000017,individual,2024-02-17,6353.819191273502
ACC000018,individual,2024-02-26,23612.459210906338
ACC000019,individual,2024-03-15,28482.83686655883
ACC000020,individual,2024-01-22,9838.89176249783
ACC000021,individual,2024-01-04,20042.651377112546
ACC000022,individual,2024-03-21,9360.73755750878
ACC000023,individual,2024-03-12,32887.19454740125
ACC000024,individual,2024-02-15,5025.7818355884765
ACC000025,company,2024-02-28,25984.114437875694
ACC000026,individual,2024-02-03,28031.40018999384
ACC000027,individual,2024-01-11,227744.3871090748
ACC000028,individual,2024-01-31,3810.6570477979626
ACC000029,individual,2024-01-11,313564.5280303676
ACC000030,individual,2024-04-29,46942.776169252335
ACC000031,individual,2024-04-27,136942.26685034338
ACC000032,individual,2024-02-25,54462.3621461409
ACC000033,company,2024-02-07,8573.744016880437
ACC000034,shell,2024-04-26,42524.68485795864
ACC000035,company,2024-01-21,11320.236689952773
ACC000036,individual,2024-04-19,20168.05758860218
ACC000037,individual,2024-04-03,6804.3330811644755
ACC000038,individual,2024-01-10,11173.5240965495
ACC000039,individual,2024-01-26,54012.811008403514
ACC000040,individual,2024-03-31,34130.83499889628
ACC000041,individual,2024-01-08,61342.62517869908
ACC000042,individual,2024-04-12,5443.557060122816
ACC000043,company,2024-01-08,3393.3031637963068
ACC000044,individual,2024-02-29,66284.78828181671
ACC000045,individual,2024-03-12,61554.169419750404
ACC000046,individual,2024-04-28,27215.377595052567
ACC000047,individual,2024-02-03,33497.48528080849
ACC000048,individual,2024-01-16,52314.98583915352
ACC000049,individual,2024-04-14,26410.68897449969
ACC000050,shell,2024-01-13,37671.80622247424
ACC000051,company,2024-03-27,49752.83471941009
ACC000052,company,2024-03-16,20060.048989240113
ACC000053,company,2024-03-31,15590.314108578028
ACC000054,individual,2024-01-22,32275.155567317455
ACC000055,company,2024-04-05,212057.7730165353
ACC000056,individual,2024-04-22,9436.272866842597
ACC000057,individual,2024-01-27,14317.814945198354
ACC000058,individual,2024-03-04,3803.1665206139555
ACC000059,individual,2024-01-02,34023.386212219506
ACC000060,individual,2024-04-18,12965.745642260825
ACC000061,individual,2024-04-06,5429.854707564763
ACC000062,company,2024-01-26,20669.397728187872
ACC000063,individual,2024-04-01,98187.24177234923
ACC000064,individual,2024-03-23,15490.373086174148
ACC000065,individual,2024-04-16,16974.813507406052
ACC000066,individual,2024-03-09,94438.7663418171
ACC000067,company,2024-04-06,21916.428522907536
ACC000068,individual,2024-03-24,6583.749511470351
ACC000069,shell,2024-01-30,43870.57887734459
ACC000070,company,2024-04-18,67818.70322912994
ACC000071,individual,2024-01-08,18026.980228603836
ACC000072,individual,2024-02-07,25096.73456677674
ACC000073,company,2024-03-01,5936.1269227477915
ACC000074,individual,2024-03-21,9222.603695534755
ACC000075,individual,2024-04-17,15787.288876660197
ACC000076,company,2024-03-05,23787.85904174293
ACC000077,individual,2024-03-07,11852.004290965446
ACC000078,individual,2024-02-15,15202.584652275627
ACC000079,individual,2024-03-30,19461.29512704619
ACC000080,company,2024-04-04,8119.098409473861
ACC000081,individual,2024-03-12,16834.726786116647
ACC000082,individual,2024-02-12,69978.26453774296
ACC000083,individual,2024-02-28,12136.55926977176
ACC000084,individual,2024-02-15,8946.959699251134
ACC000085,individual,2024-03-12,177215.97425873976
ACC000086,individual,2024-02-04,27600.867758027645
ACC000087,individual,2024-02-08,10169.63580710746
ACC000088,company,2024-04-01,41919.25456851477
ACC000089,individual,2024-02-20,28455.79885783658
ACC000090,individual,2024-01-04,12454.205859091924
ACC000091,individual,2024-03-20,20974.195673598675
ACC000092,company,2024-03-17,16457.896296613908
ACC000093,individual,2024-03-24,59283.314083160534
ACC000094,company,2024-02-20,43535.95492423022
ACC000095,individual,2024-01-05,2583.9007075846007
ACC000096,individual,2024-02-24,147695.6425715386
ACC000097,individual,2024-04-10,16509.36591831364
ACC000098,individual,2024-01-20,123298.45837733238
ACC000099,individual,2024-01-24,45073.56155311146
ACC000100,individual,2024-02-05,28232.52426526849
ACC000101,individual,2024-02-03,20047.052338682483
ACC000102,individual,2024-04-18,347589.42458301014
ACC000103,individual,2024-04-21,16786.8386990372
ACC000104,company,2024-02-23,11256.138424225268
ACC000105,individual,2024-02-03,12316.449096819875
ACC000106,individual,2024-03-23,22049.80788110156
ACC000107,company,2024-01-17,22011.355389028413
ACC000108,individual,2024-01-05,60115.55900762151
ACC000109,individual,2024-03-29,47016.27203157706
ACC000110,individual,2024-01-18,47074.68614866266
ACC000111,individual,2024-02-24,17531.63087305504
ACC000112,company,2024-02-22,43326.602769889614
ACC000113,company,2024-02-19,48112.468490638996
ACC000114,individual,2024-03-12,20346.69727264652
ACC000115,company,2024-03-31,29120.57210914132
ACC000116,company,2024-03-19,48051.63269113649
ACC000117,individual,2024-02-14,27205.251432193298
ACC000118,company,2024-01-13,29928.852933831764
ACC000119,individual,2024-01-16,89957.73612584973
ACC000120,company,2024-03-26,27419.60434209451
ACC000121,company,2024-03-24,11995.272785964464
ACC000122,individual,2024-01-13,5734.867862539922
ACC000123,individual,2024-01-20,24665.257511312517
ACC000124,individual,2024-03-06,15812.133595127434
ACC000125,individual,2024-04-08,49430.05559375037
ACC000126,company,2024-02-16,106691.64159907558
ACC000127,company,2024-04-28,7865.920740200077
ACC000128,individual,2024-01-19,9082.935902794898
ACC000129,individual,2024-02-14,21500.702552013336
ACC000130,individual,2024-02-06,9897.803357357574
ACC000131,individual,2024-02-23,17640.877426589857
ACC000132,individual,2024-01-06,12885.098673873654
ACC000133,individual,2024-01-14,8040.304300119529
ACC000134,company,2024-01-04,50306.28918022938
ACC000135,individual,2024-03-26,23748.675622457402
ACC000136,individual,2024-04-24,137361.1310000087
ACC000137,individual,2024-02-24,31539.83537542407
ACC000138,individual,2024-04-12,79900.09646285864
ACC000139,shell,2024-04-09,10627.53321449557
ACC000140,shell,2024-02-03,10496.455049396976
ACC000141,individual,2024-01-27,202981.59867070243
ACC000142,individual,2024-01-07,11981.080629578559
ACC000143,individual,2024-01-03,8525.785589560375
ACC000144,individual,2024-02-16,6827.7731301432505
ACC000145,individual,2024-04-06,149604.521006348
ACC000146,individual,2024-01-02,16735.758894063114
ACC000147,individual,2024-04-15,32971.27741557268
ACC000148,individual,2024-03-20,25626.88358486286
ACC000149,individual,2024-01-25,10684.938923902642
ACC000150,company,2024-02-29,16378.045083221863
ACC000151,individual,2024-03-19,51312.20261927012
ACC000152,individual,2024-01-24,6464.896498350188
ACC000153,individual,2024-01-15,43224.73762677208
ACC000154,shell,2024-04-04,92414.3607126511
ACC000155,individual,2024-01-14,29506.779809935022
ACC000156,individual,2024-02-23,83566.68662693925
ACC000157,company,2024-03-18,5589.173141570694
ACC000158,individual,2024-01-06,3533.1939668730315
ACC000159,individual,2024-03-18,28075.268410941415
ACC000160,individual,2024-03-21,12254.579167811768
ACC000161,individual,2024-01-18,53038.05541953061
ACC000162,individual,2024-01-20,16148.073271449904
ACC000163,individual,2024-04-24,25519.352757202614
ACC000164,individual,2024-03-02,23884.472201083256
ACC000165,company,2024-03-21,24658.67377603696
ACC000166,individual,2024-03-20,12801.972149090367
ACC000167,individual,2024-02-09,5627.113379170407
ACC000168,individual,2024-02-08,17690.94941464917
ACC000169,individual,2024-02-21,93905.26228798223
ACC000170,individual,2024-02-01,11982.13066315402
ACC000171,individual,2024-04-17,11916.191699487761
ACC000172,individual,2024-03-13,25787.558524513548
ACC000173,individual,2024-01-27,6787.904052323691
ACC000174,individual,2024-04-19,60083.35739943133
ACC000175,individual,2024-02-21,7467.119138253317
ACC000176,individual,2024-04-06,16493.188968879593
ACC000177,individual,2024-03-03,278983.62675813644
ACC000178,company,2024-03-14,7026.442160924939
ACC000179,individual,2024-03-03,96025.6591479434
ACC000180,individual,2024-01-17,24865.788134590308
ACC000181,individual,2024-04-22,28633.08474491361
ACC000182,company,2024-02-18,9804.912040905228
ACC000183,company,2024-04-09,48959.593342306514
ACC000184,individual,2024-03-21,15276.564286605932
ACC000185,individual,2024-03-22,6989.853333337683
ACC000186,company,2024-04-25,94434.3726716008
ACC000187,individual,2024-01-23,14975.204923606598
ACC000188,individual,2024-04-07,3431.032628916644
ACC000189,individual,2024-03-12,16836.309260971342
ACC000190,individual,2024-01-13,49417.97545813714
ACC000191,company,2024-01-23,42123.53142223018
ACC000192,company,2024-02-26,11604.182397484048
ACC000193,individual,2024-03-02,8287.626266996811
ACC000194,individual,2024-02-23,5618.51566127089
ACC000195,individual,2024-01-20,21530.737155969113
ACC000196,individual,2024-03-26,25616.59701437785
ACC000197,company,2024-04-20,44755.09986785019
ACC000198,company,2024-02-21,18976.673046157306
ACC000199,company,2024-01-23,18422.577590280864
ACC000200,individual,2024-04-14,16672.349902067497
ACC000201,individual,2024-02-04,25660.33515384031
ACC000202,individual,2024-03-07,19270.593196609585
ACC000203,company,2024-02-03,56335.89939081957
ACC000204,individual,2024-02-02,30056.82308033432
ACC000205,individual,2024-02-15,24538.582118889546
ACC000206,individual,2024-03-21,21126.16386061054
ACC000207,individual,2024-02-14,8588.46631785437
ACC000208,individual,2024-01-19,22012.09728716494
ACC000209,individual,2024-04-03,11538.814211896784
ACC000210,individual,2024-03-27,31149.423819938518
ACC000211,individual,2024-01-15,17874.688671783573
ACC000212,individual,2024-03-18,116344.93338125167
ACC000213,individual,2024-03-06,6235.719870173307
ACC000214,individual,2024-02-08,991.7605376280242
ACC000215,individual,2024-04-22,28786.535456296802
ACC000216,individual,2024-01-18,11576.74253155514
ACC000217,individual,2024-03-10,25875.726472693474
ACC000218,individual,2024-02-28,6401.977311242345
ACC000219,company,2024-02-01,148592.02485195783
ACC000220,individual,2024-01-21,14965.28998161301
ACC000221,individual,2024-02-09,10851.454759598148
ACC000222,individual,2024-04-01,145873.07330857866
ACC000223,individual,2024-01-27,51038.88899285593
ACC000224,individual,2024-01-02,88389.69276263216
ACC000225,individual,2024-04-06,18542.547567322177
ACC000226,shell,2024-03-20,23084.34146876361
ACC000227,individual,2024-02-08,12128.019363805455
ACC000228,company,2024-03-26,10791.645846377427
ACC000229,individual,2024-02-25,32801.79698694909
ACC000230,company,2024-04-16,15238.000880675105
ACC000231,individual,2024-04-20,202971.1481066789
ACC000232,individual,2024-01-13,51150.38804841084
ACC000233,individual,2024-02-25,144822.1282793422
ACC000234,individual,2024-03-06,2371.5992973932875
ACC000235,individual,2024-03-18,146593.83389215707
ACC000236,individual,2024-02-25,2028.5035221484695
ACC000237,individual,2024-04-11,6242.205624182698
ACC000238,individual,2024-04-14,3817.5074318192333
ACC000239,individual,2024-01-28,28086.635588280333
ACC000240,company,2024-03-04,21629.273969250633
ACC000241,shell,2024-03-11,48772.367624363025
ACC000242,company,2024-03-22,20161.612787506652
ACC000243,individual,2024-03-04,74989.26826408603
ACC000244,individual,2024-02-25,8667.249243404342
ACC000245,company,2024-02-10,76738.80650793292
ACC000246,individual,2024-04-28,21359.658959672935
ACC000247,shell,2024-04-09,232317.48864123112
ACC000248,shell,2024-02-10,52675.56738072083
ACC000249,company,2024-04-09,16257.966771476811
ACC000250,individual,2024-04-17,21288.600944734586
ACC000251,individual,2024-01-04,8029.552810860237
ACC000252,company,2024-02-26,31550.98737435342
ACC000253,individual,2024-01-30,16249.27903373405
ACC000254,individual,2024-03-28,45440.919486066705
ACC000255,individual,2024-03-24,5779.0861430043005
ACC000256,company,2024-02-15,15840.531266550914
ACC000257,individual,2024-02-25,6908.299915387558
ACC000258,individual,2024-01-31,7351.492083603749
ACC000259,individual,2024-03-28,40378.39595246764
ACC000260,individual,2024-01-07,67812.80620466947
ACC000261,shell,2024-03-30,2137.6335080079193
ACC000262,individual,2024-03-17,141757.69862864818
ACC000263,individual,2024-02-23,89687.54114677127
ACC000264,company,2024-01-08,5729.160430601102
ACC000265,individual,2024-02-24,50354.513039825324
ACC000266,individual,2024-03-09,13902.361658491602
ACC000267,individual,2024-02-13,19968.262818557727
ACC000268,individual,2024-01-13,40217.38153430463
ACC000269,individual,2024-04-02,35596.25989312087
ACC000270,company,2024-01-20,12419.260451327966
ACC000271,company,2024-03-18,12366.762302252397
ACC000272,company,2024-02-01,13118.431379918364
ACC000273,company,2024-02-29,69066.67203432837
ACC000274,individual,2024-02-19,3422.6960168902006
ACC000275,individual,2024-01-27,18733.824132138412
ACC000276,company,2024-04-29,106143.46536614811
ACC000277,individual,2024-01-25,44520.4338726049
ACC000278,individual,2024-02-21,63004.66530967035
ACC000279,company,2024-03-08,18995.19607005082
ACC000280,company,2024-01-21,6880.432692310082
ACC000281,individual,2024-01-18,23287.861940880448
ACC000282,individual,2024-02-08,11059.714498147438
ACC000283,individual,2024-01-15,204983.85783021513
ACC000284,individual,2024-02-22,18803.967699430446
ACC000285,individual,2024-02-07,41666.761062133926
ACC000286,individual,2024-02-17,120860.47198730845
ACC000287,individual,2024-02-21,7355.847229304007
ACC000288,individual,2024-03-28,2253.5684009224465
ACC000289,individual,2024-03-12,35954.651737116736
ACC000290,individual,2024-01-28,43404.890400678174
ACC000291,individual,2024-03-25,14558.105535904833
ACC000292,company,2024-01-16,6930.912579424755
ACC000293,individual,2024-04-27,30026.004611954282
ACC000294,individual,2024-01-16,21509.572287821116
ACC000295,individual,2024-02-04,30400.10772070542
ACC000296,company,2024-01-17,7094.280228785791
ACC000297,individual,2024-03-13,30479.072712044086
ACC000298,individual,2024-04-08,49987.85549523747
ACC000299,individual,2024-02-21,4885.915273573076
ACC000300,individual,2024-04-02,94884.59177491062
ACC000301,individual,2024-04-12,28409.894865280734
ACC000302,individual,2024-03-22,51582.84762882739
ACC000303,individual,2024-01-12,6130.731612182325
ACC000304,individual,2024-03-23,43590.08470177496
