account_id,in_degree,out_degree,pagerank,clustering,cycle_presence
ACC000000,6,11,8.720040009243545e-05,0.0,1
ACC001394,8,12,5.3270504784630324e-05,0.0,1
ACC002553,15,13,0.0003426672764069915,0.0,1
ACC003196,11,8,6.602990723069188e-05,0.0,1
ACC003671,13,14,0.00028054828919869194,0.0,1
ACC004226,12,8,8.240298744358094e-05,0.0,1
ACC004898,12,9,5.53452308415091e-05,0.0,1
ACC005753,13,9,8.406847007825723e-05,0.004329004329004329,1
ACC006302,7,6,5.666650596515525e-05,0.01282051282051282,1
ACC006340,10,9,4.375376010174765e-05,0.0,1
ACC008887,12,7,0.0003079612186973777,0.005847953216374269,1
ACC009667,13,10,0.00028210609878859765,0.0,1
ACC000001,14,8,0.00011076900128669774,0.0,1
ACC002799,10,9,6.85931734631633e-05,0.0,1
ACC003288,10,7,6.982877234026924e-05,0.0,1
ACC004042,11,19,9.967630059377008e-05,0.0022988505747126436,1
ACC004240,9,6,4.303510645116518e-05,0.009523809523809525,1
ACC004258,13,4,6.348922000400763e-05,0.0,1
ACC006997,15,9,0.00011724648226017551,0.0,1
ACC007660,11,13,6.648534968946208e-05,0.0,1
ACC009323,5,8,3.661925443635608e-05,0.0,1
ACC000002,6,9,3.1551900575627604e-05,0.0,1
ACC000006,10,12,5.41715003843397e-05,0.0,1
ACC000642,14,8,5.732966814958894e-05,0.004329004329004329,1
ACC002916,14,8,7.663591587035184e-05,0.0,1
ACC003705,14,10,6.348760968606963e-05,0.0036231884057971015,1
ACC004529,11,8,4.855597250109795e-05,0.005847953216374269,1
ACC006510,14,7,9.439731538194807e-05,0.0,1
ACC007050,7,14,8.565507610370937e-05,0.0,1
ACC007204,10,7,3.841155609724443e-05,0.0,1
ACC007606,14,16,0.0007944079014956852,0.0022988505747126436,1
ACC000003,13,5,6.295399772481419e-05,0.0,1
ACC002643,13,9,6.303963402880612e-05,0.008658008658008658,1
ACC003226,14,6,9.262303158596412e-05,0.005263157894736842,1
ACC003404,13,14,0.00033208257606319095,0.0,1
ACC005680,12,6,7.265698676489518e-05,0.006535947712418301,1
ACC006009,5,9,4.006783726626232e-05,0.0,1
ACC000004,16,7,0.0004217452711024925,0.011857707509881422,1
ACC000590,13,12,0.00042125488867637324,0.0,1
ACC002368,13,7,6.421707344306243e-05,0.0,1
ACC002429,15,10,0.0004266786035475801,0.006666666666666667,1
ACC004187,11,10,4.999290554832613e-05,0.0,1
ACC004297,11,14,5.3841386101430885e-05,0.006666666666666667,1
ACC007875,11,9,8.67329018016761e-05,0.0,1
ACC009210,10,10,5.571594608709409e-05,0.0,1
ACC000005,11,11,7.808149630652554e-05,0.0,1
ACC001433,9,11,0.0002898034426307371,0.010526315789473684,1
ACC003989,11,9,6.0580519264681756e-05,0.005263157894736842,1
ACC004159,12,12,6.25711525026791e-05,0.0,1
ACC005113,12,6,8.505403788802852e-05,0.0,1
ACC005360,8,10,5.728896851271606e-05,0.0,1
ACC006998,9,11,5.5041292207120395e-05,0.0,1
ACC007413,11,11,5.9987926752392004e-05,0.0,1
ACC007470,12,10,9.106685252795733e-05,0.0,1
ACC007972,9,8,4.6891017034252734e-05,0.014705882352941176,1
ACC008824,11,11,8.267866895411614e-05,0.004329004329004329,1
ACC009029,16,10,0.00023164526840124182,0.0,1
ACC000409,131,9,0.00202688893035422,0.0022610483042137717,1
ACC001249,4,9,1.8973909070557285e-05,0.0,1
ACC001763,12,6,6.194892009494023e-05,0.0,1
ACC001979,12,5,8.351724493080581e-05,0.0,1
ACC005598,6,6,3.7944677410539e-05,0.015151515151515152,1
ACC006053,11,16,3.8895163756174344e-05,0.0,1
ACC006752,9,7,7.298651964461851e-05,0.0,1
ACC006999,13,9,4.176062076437539e-05,0.0,1
ACC008224,15,11,7.872525172044084e-05,0.003076923076923077,1
ACC008294,17,8,5.215353293287657e-05,0.0,1
ACC009656,12,9,7.921072294186346e-05,0.004761904761904762,1
ACC009840,9,11,5.6918672734553434e-05,0.005263157894736842,1
ACC000007,15,3,4.328384634116831e-05,0.0,1
ACC002789,17,9,8.154583430743318e-05,0.006153846153846154,1
ACC004271,8,12,8.090037443146584e-05,0.0,1
ACC009610,13,2,7.67054199817509e-05,0.009523809523809525,1
ACC000008,11,5,7.236979147187157e-05,0.0,1
ACC001099,9,11,4.2842824296061544e-05,0.0,1
ACC006715,7,11,6.977462555751337e-05,0.0,1
ACC007473,22,6,0.00013608641023376387,0.0026455026455026454,1
ACC009593,11,6,6.562429495255798e-05,0.007352941176470588,1
ACC009632,8,11,5.7633713016860474e-05,0.011695906432748537,1
ACC000009,5,10,3.2052001798288864e-05,0.0,1
ACC001978,16,6,0.0005843373360905452,0.004329004329004329,1
ACC002050,12,8,7.217737465671758e-05,0.0,1
ACC002220,10,14,6.62300430082167e-05,0.0,1
ACC002702,6,9,4.333403518895166e-05,0.009523809523809525,1
ACC006759,10,8,0.0002764492051731604,0.006535947712418301,1
ACC008682,11,5,8.411203064772692e-05,0.0,1
ACC008834,10,8,7.288004747852859e-05,0.0,1
ACC009002,9,6,3.4790197648147134e-05,0.0,1
ACC009098,8,9,6.243185539793921e-05,0.007352941176470588,1
ACC009567,8,8,6.209675876964386e-05,0.0,1
ACC000010,5,12,3.436954910259364e-05,0.007352941176470588,1
ACC000695,16,8,0.00010678396329042156,0.0036231884057971015,1
ACC000774,8,11,6.737488849608613e-05,0.0,1
ACC001354,10,11,6.605623111871747e-05,0.0,1
ACC001521,14,6,8.895890555543844e-05,0.0,1
ACC002427,9,7,3.637280476845706e-05,0.0,1
ACC003128,8,9,3.8967451039413434e-05,0.007352941176470588,1
ACC006123,10,10,5.9189412012932986e-05,0.0,1
ACC006518,11,11,5.006306730551417e-05,0.004329004329004329,1
ACC006530,12,10,6.934077259745643e-05,0.0,1
